adult,budget,TMDb_id,popularity,release_year,status,title,vote_average,Netflix_id,on_Netflix
True,0.0,48992,0.289295,1994,Released,I Like It Like That,6.3,,False
True,45000000.0,10879,3.570874,1994,Released,I Love Trouble,5.3,,False
True,0.0,10660,11.272073,1994,Released,It Could Happen to You,6.1,,False
True,0.0,41647,0.568884,1993,Released,"The Wonderful, Horrible Life of Leni Riefenstahl",7.3,,False
True,45000000.0,8587,21.605761,1994,Released,The Lion King,8.0,,False
True,35000000.0,1689,5.681522,1993,Released,Little Buddha,6.0,,False
True,14000000.0,11596,9.860522,1994,Released,New Nightmare,6.4,,False
True,23000000.0,854,14.13488,1994,Released,The Mask,6.6,,False
True,0.0,9359,15.050326,1994,Released,Maverick,6.6,,False
True,0.0,23333,4.739054,1994,Released,Mrs. Parker and the Vicious Circle,6.3,,False
True,30000000.0,36593,10.587232,1994,Released,The Naked Gun 33⅓: The Final Insult,6.4,,False
True,11500000.0,2788,6.514592,1994,Released,Reality Bites,6.5,,False
True,8000000.0,10427,5.137903,1993,Released,Red Rock West,6.4,,False
True,40000000.0,11011,6.595255,1994,Released,Ri¢hie Ri¢h,5.4,,False
True,0.0,49803,4.931565,1994,Released,Safe Passage,4.9,,False
True,45000000.0,8987,10.511241,1994,Released,The River Wild,6.1,s8490,True
True,30000000.0,1637,10.859292,1994,Released,Speed,6.8,,False
True,0.0,15128,2.334226,1994,Released,Speechless,5.5,,False
True,27000000.0,8831,8.907074,1994,Released,Timecop,5.5,,False
True,115000000.0,36955,11.396099,1994,Released,True Lies,6.8,,False
True,0.0,10449,4.322544,1994,Released,When a Man Loves a Woman,6.0,,False
True,63000000.0,12160,9.277147,1994,Released,Wyatt Earp,6.5,s8765,True
True,0.0,40480,0.912415,1995,Released,Bad Company,4.9,,False
True,0.0,52038,0.406113,1994,Released,A Man of No Importance,6.5,,False
True,0.0,29444,2.504529,1994,Released,S.F.W.,6.1,,False
True,10000000.0,26352,3.021526,1994,Released,A Low Down Dirty Shame,6.0,,False
True,0.0,39953,0.054148,1994,Released,"Boys Life: Three Stories of Love, Lust, and Liberation",2.0,,False
True,0.0,41580,0.934312,1994,Released,Colonel Chabert,5.9,,False
